,SMILES,False positives,True positives,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(OC1CN3CCC1CC3)c1ccccc1CS2,-0.0,1.0,0.0,0.0,0.0
1,C#CCNc1c(C)c(C)nc2ncnn12,-0.0,1.0,0.0,1.0,0.0
2,C#CCNc1c2c(nc3ncnn13)CC(C)CC2,-0.0,1.0,0.0,1.0,0.0
3,C#CCOC(=O)Nc1cccn(Cc2c(Cl)cccc2Cl)c1=O,1.0,0.0,0.0,0.0,0.0
4,C#CC[N+](CC)(CC)CC#Cc1ccccc1,-0.0,1.0,0.0,1.0,0.0
5,C#CC[N+]1(CC#Cc2ccc(C)cc2)CCCCC1,-0.0,1.0,0.0,1.0,0.0
6,C#CC[N+]1(CC#Cc2cccc(C)c2)CCCCC1,-0.0,1.0,0.0,1.0,0.0
7,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)c1cc(Cl)ccc1O)C12CC3CC(CC(C3)C1)C2,-0.0,1.0,1.0,0.0,1.0
9,C/C(=N\N=C(N)N)c1ccc(Cl)cc1,-0.0,1.0,1.0,0.0,1.0
10,C/C(=N\N=C(N)N)c1ccc(Cl)cc1Cl,-0.0,1.0,1.0,0.0,1.0
11,C/C(=N\N=C(N)N)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
12,C/C(=N\NC(=O)c1ccccc1O)C1C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,0.0,1.0
13,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,1.0,0.0,1.0
14,C/C(=N\NC(N)=S)c1cccnc1,1.0,0.0,1.0,0.0,1.0
15,C/C(=N\NC1=NCCN1)c1ccc(Cl)cc1,-0.0,1.0,1.0,0.0,1.0
16,C/C(=N\NC1=NCCN1)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
17,C/C(=N\NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1cc2ccccc2o1,-0.0,1.0,1.0,0.0,1.0
18,C/C(=N\Nc1nc2ccccc2[nH]1)c1cccs1,-0.0,1.0,1.0,0.0,1.0
19,C/C(=N\OCC(=O)Nc1ccccc1C(=O)O)c1cccs1,-0.0,1.0,0.0,0.0,0.0
20,C/C(CC(c1ccccc1)c1c(O)c2ccccc2oc1=O)=N\Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-0.0,1.0,1.0,0.0,1.0
21,C/C(Cl)=C\Cn1c(O)c(N=O)c2ccccc21,-0.0,1.0,1.0,0.0,1.0
22,C/C=C(\C)CN1CCC(Oc2cccc(C(=O)NCc3ccccn3)c2)CC1,-0.0,1.0,0.0,1.0,0.0
23,C1=C2C[N+]3(CCCC3)CC2Cc2ccc3ccccc3c21,-0.0,1.0,0.0,1.0,0.0
24,C=C(C)COc1ccc(-c2[nH]ncc2-c2ccc(Br)cc2)c(O)c1,1.0,0.0,0.0,0.0,0.0
25,C=C(C)CSc1nnc(CCCCCNC(=O)OC(C)(C)C)o1,-0.0,1.0,1.0,0.0,1.0
26,C=CC(=O)N=c1sc2ccccc2n1-c1ccccc1,-0.0,1.0,1.0,0.0,1.0
27,C=CCN(CC=C)S(=O)(=O)c1ccc2nc(NC(=O)C(C)C)sc2c1,-0.0,1.0,0.0,1.0,0.0
28,C=CCN(CC=C)S(=O)(=O)c1ccc2nc(NC(=O)C3CCCO3)sc2c1,-0.0,1.0,0.0,1.0,0.0
